Ñù±¾id,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14
sample_1010,300,,405.0,700,19:00:00,35.0,,,20:00:00,100,21:00:00,102.0,0.2,22:00:00,103.0,23:00:00,106.0,0.2,200,23:30-0:00,50.0,10.0,5.0,0:00:00,70,0:30:00,70.0,0:00-1:30,290.0,3.5,3.5,1:30-3:00,3:00:00,60,8:00:00,40.0,9:00-10:10,11:30-13:00,,800.0,0.15,400
sample_1011,300,,405.0,700,2:00:00,34.0,,,3:00:00,100,4:00:00,101.0,0.2,5:00:00,104.0,6:00:00,104.0,0.2,200,6:30-7:30,50.0,10.0,5.0,7:30:00,70,8:00:00,77.0,12:00-13:00,290.0,3.5,3.5,13:00-14:00,14:00:00,65,16:30:00,45.0,19:30-21:00,21:30-23:00,,800.0,0.15,400
sample_1012,300,,405.0,700,12:00:00,21.0,,,13:30:00,100,14:30:00,102.0,0.2,15:30:00,103.0,16:30:00,105.0,0.2,200,17:00-17:30,50.0,9.0,5.0,18:00:00,70,18:30:00,78.0,18:30-19:30,290.0,3.5,3.5,20:30-22:00,22:00:00,60,1:00:00,40.0,4:00-5:30,6:30-8:00,,800.0,0.15,400
sample_1013,300,,405.0,700,22:00:00,26.0,,,23:00:00,100,0:00:00,101.0,0.2,1:00:00,104.0,2:00:00,103.0,0.2,200,2:00-2:30,50.0,10.0,5.0,2:30:00,70,3:00:00,77.0,3:00-4:00,300.0,3.5,3.5,4:00-5:00,5:30:00,60,8:00:00,36.0,13:00-14:30,15:30-17:00,,800.0,0.15,400
sample_1016,300,,405.0,700,0:00:00,21.0,,,1:30:00,100,2:30:00,102.0,0.2,3:30:00,103.0,4:30:00,105.0,0.2,200,5:00-5:30,50.0,9.0,5.0,6:00:00,70,6:30:00,78.0,12:30-13:30,270.0,3.5,3.5,12:30-14:00,14:00:00,60,19:00:00,40.0,19:30-21:00,22:00-23:00,,800.0,0.15,400
sample_1017,300,,405.0,700,12:00:00,32.0,,,13:00:00,100,14:00:00,102.0,0.2,15:00:00,103.0,16:00:00,105.0,0.2,200,16:30-17:00,40.0,9.0,5.0,11:30:00,70,18:00:00,78.0,18:00-19:00,,3.5,3.5,19:00-20:30,20:30:00,60,23:00:00,37.0,4:00-5:00,6:30-8:00,,800.0,0.15,400
sample_1018,300,,405.0,700,22:00:00,36.0,,,23:00:00,100,0:00:00,102.0,0.2,1:00:00,102.0,2:00:00,104.0,0.2,200,2:00-2:30,50.0,10.0,5.0,2:30:00,70,3:00:00,70.0,3:00-4:00,300.0,3.5,3.5,4:00-5:30,5:30:00,60,8:00:00,40.0,14:00-15:30,16:30-18:00,,800.0,0.15,400
sample_102,300,,405.0,700,12:00:00,30.0,,,14:00:00,101,15:00:00,103.0,0.2,16:00:00,105.0,17:00:00,106.0,0.2,200,17:00-18:00,50.0,9.0,5.0,18:00:00,80,19:00:00,73.0,19:00-20:00,,3.5,3.5,20:00-21:00,21:00:00,80,23:00:00,45.0,23:00-1:30,1:00-2:30,2:30-3:30,1200.0,0.15,420
sample_1020,300,,405.0,700,17:00:00,21.0,,,18:30:00,100,19:30:00,102.0,0.2,20:30:00,104.0,21:30:00,105.0,0.2,200,23:00-23:30,50.0,10.0,5.0,23:00:00,70,23:30:00,77.0,2:00-3:30,300.0,3.5,3.5,3:30-5:00,5:00:00,60,8:00:00,37.0,9:00-10:30,11:30-13:00,,800.0,0.15,400
sample_1021,300,,405.0,700,1:30:00,35.0,,,3:00:00,100,4:00:00,100.0,0.2,5:00:00,103.0,6:00:00,103.0,0.2,200,6:30-7:00,50.0,10.0,5.0,7:30:00,70,8:00:00,77.0,13:00-14:00,300.0,3.5,3.5,14:00-15:30,15:30:00,65,18:30:00,37.0,19:00-20:30,21:30-23:00,,800.0,0.15,400
sample_1023,300,,405.0,700,21:00:00,21.0,,,22:30:00,100,23:30:00,102.0,0.2,0:30:00,104.0,1:30:00,105.0,0.2,200,2:00-2:30,50.0,9.0,5.0,3:00:00,70,3:30:00,78.0,7:00-8:00,290.0,3.5,3.5,8:00-9:30,9:30:00,60,14:00:00,50.0,14:30-16:00,16:40-18:20,,800.0,0.15,400
sample_1025,300,,405.0,700,3:00:00,35.0,,,4:00:00,100,5:00:00,101.0,0.2,6:00:00,103.0,7:00:00,103.0,0.2,200,7:00-7:30,50.0,10.0,5.0,7:30:00,70,8:00:00,77.0,13:30-14:30,290.0,3.5,3.5,14:30-15:30,15:30:00,65,18:00:00,45.0,19:00-20:30,21:30-23:00,,800.0,0.15,400
sample_1026,300,,405.0,700,11:00:00,21.0,,,12:30:00,100,13:30:00,102.0,0.2,14:30:00,103.0,15:30:00,105.0,0.2,200,16:00-16:30,50.0,9.0,5.0,17:00:00,70,17:30:00,78.0,22:00-23:00,280.0,3.5,3.5,23:00-0:00,0:00:00,64,2:00:00,50.0,6:00-7:30,8:00-9:30,,800.0,0.15,400
sample_1027,300,,405.0,700,21:00:00,34.0,,,22:30:00,100,23:30:00,103.0,0.2,0:30:00,104.0,1:10:00,105.0,0.2,200,2:00-2:30,50.0,9.0,5.0,3:00:00,70,3:30:00,75.0,4:00-5:00,290.0,3.5,3.5,5:30-7:00,7:00:00,65,8:00:00,40.0,14:30-15:30,17:00-18:30,,800.0,0.15,400
sample_1029,300,,405.0,700,16:00:00,34.0,,,17:30:00,100,18:30:00,102.0,0.2,19:30:00,103.0,20:30:00,105.0,0.2,200,21:00-21:30,50.0,9.0,5.0,22:00:00,70,22:30:00,78.0,3:00-4:00,290.0,3.5,3.5,4:00-5:00,5:00:00,65,8:00:00,45.0,9:30-11:00,12:00-13:30,,800.0,0.15,400
sample_103,300,,405.0,700,20:00:00,29.0,,,22:00:00,102,23:00:00,103.0,0.2,0:00:00,104.0,1:00:00,105.0,0.2,200,1:00-2:00,50.0,9.0,5.0,2:00:00,78,3:00:00,73.0,3:00-4:00,320.0,3.5,3.5,4:00-5:00,5:00:00,80,7:00:00,45.0,7:00-8:30,8:30-10:00,10:00-11:00,1200.0,0.15,400
sample_1030,300,,405.0,700,1:00:00,21.0,,,2:30:00,100,3:30:00,102.0,0.2,4:30:00,104.0,5:30:00,105.0,0.2,200,6:00-6:30,50.0,9.0,5.0,7:00:00,70,7:30:00,78.0,12:30-13:30,300.0,3.5,3.5,13:30-14:30,14:30:00,65,17:30:00,45.0,19:00-20:30,21:30-23:00,,800.0,0.15,400
sample_1031,300,,405.0,700,11:00:00,36.0,,,12:30:00,100,13:30:00,102.0,0.2,14:30:00,104.0,15:30:00,105.0,0.2,200,16:00-16:30,30.0,9.0,5.0,17:00:00,70,17:30:00,78.0,2:30-3:30,300.0,3.5,3.5,3:30-4:30,4:30:00,65,5:30:00,40.0,5:30-7:00,8:00-9:30,,800.0,0.15,400
sample_1032,300,,405.0,700,21:00:00,34.0,,,22:30:00,100,23:30:00,102.0,0.2,0:30:00,103.0,1:30:00,105.0,0.2,200,2:00-2:30,50.0,10.0,5.0,3:00:00,70,3:30:00,77.0,3:30-4:30,300.0,3.5,3.5,4:30-6:00,6:00:00,60,8:00:00,36.0,15:00-16:30,17:00-19:00,,800.0,0.15,400
sample_1034,300,,405.0,700,15:00:00,21.0,,,16:30:00,100,17:30:00,102.0,0.2,18:30:00,104.0,19:30:00,105.0,0.2,200,20:00-20:30,40.0,9.0,5.0,3:00:00,70,3:30:00,78.0,3:30-4:30,300.0,3.5,3.5,4:30-6:00,6:00:00,65,8:00:00,45.0,9:30-11:00,12:00-13:30,,800.0,0.15,400
sample_1036,300,,405.0,700,12:00:00,34.0,,,13:30:00,100,14:30:00,102.0,0.2,15:30:00,104.0,16:30:00,104.0,0.2,200,17:00-17:30,50.0,10.0,5.0,18:00:00,70,18:30:00,77.0,22:30-23:30,290.0,3.5,3.5,23:30-0:30,0:30:00,65,3:00:00,45.0,5:00-6:30,7:00-8:30,,800.0,0.15,400
sample_1037,300,,405.0,700,21:00:00,21.0,,,22:30:00,100,23:30:00,102.0,0.2,0:30:00,104.0,1:30:00,105.0,0.2,200,2:00-2:30,50.0,9.0,5.0,3:00:00,70,3:30:00,78.0,7:00-8:00,300.0,3.5,3.5,8:30-10:00,10:00:00,65,13:00:00,45.0,14:00-15:30,16:30-18:00,,800.0,0.15,400
sample_1038,300,,405.0,700,7:00:00,21.0,,,8:30:00,100,9:30:00,102.0,0.2,10:30:00,103.0,11:30:00,105.0,0.2,200,12:00-12:30,20.0,10.0,5.0,13:00:00,70,13:30:00,78.0,17:00-18:00,290.0,3.5,3.5,18:00-19:00,19:00:00,60,21:30:00,40.0,0:00-1:30,2:30-4:00,,800.0,0.15,400
sample_104,300,,405.0,700,4:00:00,29.0,,,6:00:00,102,7:00:00,103.0,0.2,8:00:00,104.0,9:00:00,105.0,0.2,200,9:00-10:00,50.0,9.0,5.0,10:00:00,79,11:00:00,72.0,11:00-12:00,320.0,3.5,3.5,12:00-13:00,13:00:00,80,15:00:00,45.0,15:00-16:30,16:30-18:00,18:00-19:00,1200.0,0.15,400
sample_1047,250,,340.0,590,0:00:00,21.0,,,1:30:00,100,2:30:00,101.0,0.2,3:30:00,104.0,4:30:00,104.0,0.2,300,5:00-5:30,30.0,10.0,5.0,6:00:00,70,6:30:00,78.0,6:30-7:30,240.0,3.5,3.5,7:30-9:00,9:00:00,65,11:00:00,45.0,14:00-16:00,,,400.0,0.15,350
sample_105,300,,405.0,700,14:00:00,29.0,,,16:00:00,101,17:00:00,103.0,0.2,18:00:00,104.0,19:00:00,105.0,0.2,200,19:00-20:00,50.0,9.0,5.0,20:00:00,80,21:00:00,72.0,21:00-22:00,320.0,3.5,3.5,22:00-23:00,23:00:00,80,1:00:00,45.0,1:00-2:30,2:30-4:00,4:00-5:00,1200.0,0.15,420
sample_1052,300,,405.0,700,16:30:00,24.0,,,18:00:00,100,19:00:00,101.0,0.2,20:00:00,103.0,21:00:00,103.0,0.2,300,21:30-22:00,50.0,9.0,5.0,22:30:00,70,23:00:00,78.0,4:00-5:00,360.0,3.5,3.5,5:00-6:00,6:00:00,65,9:00:00,45.0,11:00-14:30,15:00-16:30,,800.0,0.15,400
sample_1053,300,,405.0,700,2:00:00,21.0,,,3:30:00,100,4:30:00,102.0,0.2,5:30:00,103.0,6:30:00,105.0,0.2,300,7:00-7:30,50.0,9.0,5.0,8:00:00,70,8:30:00,78.0,15:30-16:30,360.0,3.5,3.5,16:30-17:30,17:30:00,65,23:00:00,50.0,0:30-2:00,2:00-3:00,,800.0,0.15,400
sample_1054,300,,405.0,700,12:00:00,31.0,,,13:30:00,100,14:30:00,102.0,0.2,15:30:00,104.0,16:30:00,105.0,0.2,300,17:00-17:30,50.0,9.0,5.0,18:00:00,70,18:30:00,78.0,5:30-6:30,360.0,3.5,3.5,6:30-8:00,8:00:00,65,10:00:00,65.0,10:00-12:00,13:00-14:30,,800.0,0.15,420
sample_1055,300,,405.0,700,0:00:00,21.0,,,1:30:00,100,2:30:00,102.0,0.2,3:30:00,104.0,4:30:00,105.0,0.2,300,5:00-5:30,50.0,9.0,5.0,6:00:00,70,6:30:00,78.0,15:00-16:00,330.0,3.5,3.5,16:00-17:30,17:30:00,65,21:00:00,50.0,21:00-22:30,23:00-0:00,,800.0,0.15,420
sample_1056,300,,405.0,700,11:30:00,28.0,,,13:00:00,100,14:00:00,101.0,0.2,15:00:00,102.0,16:00:00,105.0,0.2,300,16:30-17:00,50.0,9.0,5.0,17:30:00,70,18:00:00,78.0,0:00-1:00,330.0,3.5,3.5,1:30-3:00,4:00:00,65,8:00:00,50.0,8:00-9:30,10:00-11:30,,800.0,0.15,420
sample_1058,300,,405.0,700,6:30:00,24.0,,,8:00:00,100,9:00:00,102.0,0.2,10:00:00,104.0,11:00:00,105.0,0.2,300,11:30-12:00,50.0,9.0,5.0,12:30:00,70,13:00:00,78.0,18:00-19:00,320.0,3.5,3.5,21:00-22:30,22:30:00,65,2:30:00,45.0,3:00-4:30,5:00-6:30,,800.0,0.15,420
sample_106,300,,405.0,700,22:00:00,30.0,,,0:00:00,100,1:00:00,102.0,0.2,2:00:00,104.0,3:00:00,106.0,0.2,200,3:00-4:00,50.0,9.0,5.0,4:00:00,80,5:00:00,73.0,5:00-6:00,320.0,3.5,3.5,6:00-7:00,7:00:00,79,9:00:00,45.0,9:00-10:30,10:30-12:00,12:00-13:00,1200.0,0.15,400
sample_1060,300,,405.0,700,1:00:00,23.0,,,2:30:00,100,3:30:00,101.0,0.2,4:30:00,103.0,5:30:00,105.0,0.2,300,6:00-6:30,50.0,9.0,5.0,7:00:00,70,7:30:00,78.0,14:00-15:00,340.0,3.5,3.5,15:00-16:30,16:30:00,65,19:00:00,50.0,20:00-22:00,23:00-1:00,,800.0,0.15,420
sample_1061,300,,405.0,700,11:00:00,24.0,,,12:30:00,100,13:30:00,101.0,0.2,14:30:00,103.0,15:30:00,103.0,0.2,300,16:00-16:30,50.0,10.0,5.0,17:00:00,70,17:30:00,78.0,23:30-0:30,340.0,3.5,3.5,0:30-1:30,1:30:00,65,4:00:00,45.0,8:30-10:00,11:00-12:30,,800.0,0.15,420
sample_1062,300,,405.0,700,17:00:00,28.0,,,18:30:00,100,19:30:00,102.0,0.2,20:30:00,104.0,21:30:00,103.0,0.2,300,0:30-1:00,50.0,9.0,5.0,1:30:00,70,2:00:00,78.0,11:30-12:30,330.0,3.5,3.5,12:30-13:30,13:30:00,65,15:30:00,45.0,17:00-18:30,19:30-21:00,,800.0,0.15,420
sample_1063,300,,405.0,700,6:00:00,21.0,,,7:00:00,100,8:30:00,103.0,0.2,9:30:00,104.0,10:30:00,105.0,0.2,300,11:00-11:30,50.0,9.0,5.0,12:00:00,70,12:00:00,78.0,19:30-20:30,350.0,3.5,3.5,20:30-22:00,22:00:00,65,3:00:00,45.0,3:00-4:30,5:30-7:00,,800.0,0.15,420
sample_1065,300,,405.0,700,22:30:00,21.0,,,0:00:00,100,1:00:00,101.0,0.2,2:00:00,102.0,3:00:00,102.0,0.2,300,3:30-4:00,50.0,10.0,5.0,6:30:00,70,7:00:00,78.0,14:30-15:30,340.0,3.5,3.5,15:30-16:30,16:30:00,65,19:00:00,45.0,21:00-22:30,23:00-0:30,,800.0,0.15,420
sample_1066,300,,405.0,700,10:30:00,21.0,,,12:00:00,100,13:00:00,102.0,0.2,14:00:00,104.0,15:00:00,105.0,0.2,300,15:30-16:00,50.0,9.0,5.0,16:30:00,70,17:00:00,78.0,23:30-0:30,340.0,3.5,3.5,0:30-1:30,1:30:00,65,8:00:00,45.0,8:00-9:30,10:00-11:30,,800.0,0.15,420
sample_1067,300,,405.0,700,19:00:00,21.0,,,20:30:00,100,21:30:00,102.0,0.2,22:30:00,104.0,23:30:00,105.0,0.2,300,0:00-0:30,50.0,9.0,5.0,1:00:00,70,1:30:00,78.0,10:00-11:00,340.0,3.5,3.5,11:00-12:30,12:30:00,65,16:30:00,45.0,16:30-18:00,19:00-20:30,,800.0,0.15,420
sample_1068,300,,405.0,700,6:00:00,24.0,,,7:30:00,100,8:30:00,101.0,0.2,9:30:00,102.0,10:30:00,101.0,0.2,300,11:00-11:30,50.0,10.0,5.0,12:00:00,70,12:30:00,78.0,19:00-20:00,350.0,3.5,3.5,20:00-21:30,21:30:00,65,23:00:00,45.0,23:00-0:30,1:00-2:30,,800.0,0.15,420
sample_1069,300,,405.0,700,12:30:00,21.0,,,14:00:00,100,15:00:00,102.0,0.2,16:00:00,104.0,17:00:00,105.0,0.2,300,17:30-18:00,50.0,9.0,5.0,18:30:00,70,19:00:00,78.0,19:00-19:30,330.0,3.5,3.5,19:30-21:00,21:00:00,65,0:00:00,45.0,2:00-3:30,4:00-5:30,,800.0,0.15,420
sample_107,300,,405.0,700,6:00:00,29.0,,,8:00:00,100,9:00:00,102.0,0.2,10:00:00,103.0,11:00:00,105.0,0.2,200,11:00-12:00,50.0,9.0,5.0,12:00:00,78,13:00:00,73.0,13:00-14:00,320.0,3.5,3.5,14:00-15:00,15:00:00,80,17:00:00,45.0,17:00-18:30,18:30-20:00,20:00-21:00,1200.0,0.15,400
sample_1072,300,,405.0,700,11:00:00,24.0,,,12:30:00,100,13:30:00,100.0,0.2,14:30:00,101.0,15:30:00,103.0,0.2,300,16:00-16:30,50.0,10.0,5.0,17:00:00,70,17:30:00,78.0,22:00-23:00,340.0,3.5,3.5,23:00-0:00,0:00:00,65,3:00:00,45.0,5:00-6:30,7:00-8:30,,800.0,0.15,420
sample_1073,300,,405.0,700,15:30:00,24.0,,,17:00:00,100,18:00:00,102.0,0.2,19:00:00,104.0,20:00:00,104.0,0.2,300,23:00-23:30,50.0,9.0,5.0,0:00:00,70,0:30:00,78.0,7:00-8:30,330.0,3.5,3.5,9:30-11:00,11:00:00,65,14:00:00,45.0,14:30-16:00,16:30-18:00,,800.0,0.15,420
sample_1074,300,,405.0,700,3:30:00,21.0,,,5:00:00,100,6:00:00,102.0,0.2,7:00:00,104.0,8:00:00,105.0,0.2,300,10:00-10:30,50.0,9.0,5.0,11:00:00,70,11:30:00,78.0,16:30-17:30,340.0,3.5,3.5,17:30-19:00,19:00:00,65,0:00:00,50.0,0:00-1:30,2:00-3:30,,800.0,0.15,420
sample_1076,300,,405.0,700,22:00:00,24.0,,,23:30:00,100,0:30:00,102.0,0.2,1:30:00,102.0,2:30:00,102.0,0.2,300,4:00-4:30,50.0,10.0,5.0,5:30:00,70,6:00:00,78.0,11:30-12:30,340.0,3.5,3.5,12:30-14:00,14:00:00,65,17:00:00,45.0,19:00-20:30,21:00-22:30,,800.0,0.15,420
sample_1078,300,,405.0,700,17:00:00,21.0,,,18:30:00,100,19:30:00,102.0,0.2,20:30:00,103.0,21:30:00,108.0,0.2,300,22:00-22:30,50.0,9.0,5.0,23:00:00,70,23:30:00,78.0,7:30-8:30,350.0,3.5,3.5,8:30-10:00,10:00:00,65,14:00:00,45.0,14:00-15:30,16:30-18:00,,800.0,0.15,400
sample_1079,300,,405.0,700,1:00:00,27.0,,,2:30:00,100,3:30:00,101.0,0.2,4:30:00,103.0,5:30:00,105.0,0.2,300,8:30-9:00,50.0,10.0,5.0,9:30:00,70,10:00:00,78.0,16:30-17:30,350.0,3.5,3.5,17:30-19:00,19:00:00,65,22:00:00,45.0,0:00-1:30,2:30-4:00,,800.0,0.15,400
sample_1080,300,,405.0,700,11:00:00,26.0,,,12:30:00,100,13:30:00,102.0,0.2,14:30:00,104.0,15:30:00,104.0,0.2,300,16:00-16:30,50.0,10.0,5.0,17:00:00,70,17:30:00,78.0,3:00-4:00,350.0,3.5,3.5,4:00-5:00,5:00:00,65,8:00:00,45.0,8:30-10:00,10:30-12:00,,800.0,0.15,400
sample_1081,300,,405.0,700,22:00:00,21.0,,,23:30:00,100,0:30:00,102.0,0.2,1:30:00,104.0,2:30:00,105.0,0.2,300,4:00-4:30,50.0,9.0,5.0,5:00:00,70,5:30:00,78.0,11:00-12:00,300.0,3.5,3.5,12:00-13:00,13:00:00,65,17:00:00,45.0,19:00-20:30,21:30-23:00,,800.0,0.15,400
sample_1082,300,,405.0,700,11:00:00,27.0,,,12:30:00,100,13:30:00,101.0,0.2,14:30:00,103.0,15:30:00,105.0,0.2,300,16:00-16:30,50.0,9.0,5.0,17:00:00,70,17:30:00,78.0,21:30-22:30,340.0,3.5,3.5,22:30-0:00,0:00:00,65,4:30:00,50.0,4:30-6:00,7:00-8:30,,800.0,0.15,400
sample_1083,300,,405.0,700,17:00:00,23.0,,,18:30:00,100,19:30:00,102.0,0.2,20:30:00,103.0,21:30:00,102.0,0.2,300,22:00-22:30,50.0,10.0,5.0,23:00:00,70,23:30:00,78.0,7:00-8:00,340.0,3.5,3.5,8:00-9:30,9:30:00,65,12:00:00,45.0,13:30-15:00,16:00-17:30,,800.0,0.15,400
sample_1085,300,,405.0,700,12:00:00,21.0,,,13:30:00,100,14:30:00,102.0,0.2,15:30:00,103.0,16:30:00,105.0,0.2,300,17:30-18:00,50.0,9.0,5.0,18:30:00,70,19:00:00,78.0,3:30-4:30,350.0,3.5,3.5,4:30-5:30,5:30:00,65,10:30:00,45.0,10:30-12:00,13:00-14:30,,800.0,0.15,400
sample_1086,300,,405.0,700,22:00:00,28.0,,,23:30:00,100,0:30:00,101.0,0.2,1:30:00,103.0,2:30:00,105.0,0.2,300,4:30-5:00,50.0,9.0,5.0,5:30:00,70,6:00:00,78.0,13:00-14:00,340.0,3.5,3.5,14:00-15:30,15:30:00,65,19:00:00,45.0,19:00-20:30,21:30-23:00,,800.0,0.15,400
sample_1087,300,,405.0,700,5:00:00,28.0,,,6:30:00,100,7:30:00,101.0,0.2,8:30:00,102.0,9:30:00,102.0,0.2,300,10:00-10:30,50.0,9.0,5.0,11:00:00,70,11:30:00,78.0,22:00-23:00,340.0,3.5,3.5,23:00-0:30,0:30:00,65,4:00:00,45.0,4:30-6:00,6:30-8:00,,800.0,0.15,400
sample_1089,300,,405.0,700,4:00:00,21.0,,,5:30:00,100,6:30:00,102.0,0.2,7:30:00,104.0,8:30:00,105.0,0.2,300,9:00-9:30,50.0,9.0,5.0,10:00:00,70,10:30:00,78.0,17:00-18:00,330.0,3.5,3.5,18:00-19:30,19:30:00,65,22:00:00,50.0,0:00-1:30,2:30-4:00,,800.0,0.15,420
sample_1090,300,,405.0,700,13:00:00,28.0,,,14:30:00,100,15:30:00,101.0,0.2,16:30:00,103.0,17:30:00,105.0,0.2,300,18:00-18:30,50.0,9.0,5.0,19:00:00,70,19:30:00,78.0,3:00-4:00,340.0,3.5,3.5,4:00-5:30,5:30:00,65,8:00:00,45.0,8:30-10:00,10:30-12:00,,800.0,0.15,420
sample_1091,300,,405.0,700,21:00:00,26.0,,,22:30:00,100,23:30:00,103.0,0.2,0:30:00,105.0,1:30:00,104.0,0.2,300,4:00-4:30,50.0,10.0,5.0,5:00:00,70,5:30:00,78.0,11:00-12:00,350.0,3.5,3.5,12:00-13:30,13:30:00,65,17:00:00,45.0,19:30-21:00,21:30-23:00,,800.0,0.15,420
sample_1093,300,,405.0,700,16:00:00,21.0,,,17:30:00,100,18:30:00,102.0,0.2,19:30:00,104.0,20:30:00,105.0,0.2,300,23:00-23:30,50.0,9.0,5.0,0:00:00,70,0:30:00,78.0,7:30-8:30,340.0,3.5,3.5,8:30-10:00,10:00:00,65,14:00:00,45.0,14:00-15:30,16:30-18:00,,800.0,0.15,440
sample_1095,300,,405.0,700,12:00:00,26.0,,,13:30:00,100,14:30:00,102.0,0.2,15:30:00,102.0,16:30:00,104.0,0.2,300,17:00-17:30,50.0,10.0,5.0,18:00:00,70,18:30:00,78.0,3:00-4:00,340.0,3.5,3.5,4:00-5:30,5:30:00,65,8:00:00,45.0,9:30-11:00,12:00-13:30,,800.0,0.15,420
